yabplot_region,freesurfer_number
L_entorhinal,2
L_caudalanteriorcingulate,9
L_caudalmiddlefrontal,10
L_cuneus,11
L_fusiform,12
L_inferiorparietal,13
L_inferiortemporal,14
L_isthmuscingulate,15
L_lateraloccipital,16
L_lateralorbitofrontal,17
L_lingual,18
L_medialorbitofrontal,19
L_middletemporal,20
L_parahippocampal,21
L_paracentral,22
L_parsopercularis,23
L_parsorbitalis,24
L_parstriangularis,25
L_pericalcarine,26
L_postcentral,27
L_posteriorcingulate,28
L_precentral,29
L_precuneus,30
L_rostralanteriorcingulate,31
L_rostralmiddlefrontal,32
L_superiorfrontal,33
L_superiorparietal,34
L_superiortemporal,35
L_supramarginal,36
L_transversetemporal,37
L_insula,38
R_entorhinal,40
R_caudalanteriorcingulate,47
R_caudalmiddlefrontal,48
R_cuneus,49
R_fusiform,50
R_inferiorparietal,51
R_inferiortemporal,52
R_isthmuscingulate,53
R_lateraloccipital,54
R_lateralorbitofrontal,55
R_lingual,56
R_medialorbitofrontal,57
R_middletemporal,58
R_parahippocampal,59
R_paracentral,60
R_parsopercularis,61
R_parsorbitalis,62
R_parstriangularis,63
R_pericalcarine,64
R_postcentral,65
R_posteriorcingulate,66
R_precentral,67
R_precuneus,68
R_rostralanteriorcingulate,69
R_rostralmiddlefrontal,70
R_superiorfrontal,71
R_superiorparietal,72
R_superiortemporal,73
R_supramarginal,74
R_transversetemporal,75
R_insula,76
